sex,height,weight
M,74,53.48477097505669
M,70,38.05647165532879
F,61,34.97081179138322
M,68,35.999365079365084
F,66,34.55939047619048
M,70,34.97081179138322
F,65,30.23946666666666
F,64,30.445177324263035
M,65,28.79949206349206
M,66,34.97081179138322
F,61,42.17068480725624
F,61,38.05647165532879
M,65,28.79949206349206
F,68,31.88515192743764
F,64,26.742385487528345
F,64,32.9137052154195
F,66,26.742385487528345
M,67,33.94225850340136
M,72,59.65609070294785
F,61,25.713832199546484
F,65,35.999365079365084
F,61,21.599619047619047
M,66,29.210913378684808
F,64,32.9137052154195
M,72,44.22779138321995
F,64,32.9137052154195
M,64,26.742385487528345
M,71,42.17068480725624
F,64,38.05647165532879
M,72,46.284897959183674
M,70,42.993527437641724
F,66,48.342004535147396
M,74,28.79949206349206
M,76,46.284897959183674
M,68,37.027918367346935
F,66,28.388070748299317
F,66,41.14213151927438
M,69,48.342004535147396
F,61,34.97081179138322
F,64,44.22779138321995
F,66,27.770938775510203
F,69,25.713832199546484
M,66,29.828045351473925
M,71,34.97081179138322
M,71,42.17068480725624
F,63,23.656725623582766
M,68,35.999365079365084
M,75,30.85659863945578
M,64,37.027918367346935
F,61,24.685278911564627
F,65,29.828045351473925
F,64,39.4964462585034
F,60,32.9137052154195
F,61,26.742385487528345
F,61,28.79949206349206
F,63,34.97081179138322
M,72,49.37055782312925
M,72,45.25634467120181
F,63,22.628172335600905
M,67,35.999365079365084
F,65,35.999365079365084
M,64,32.50228390022676
F,61,37.027918367346935
F,66,24.273857596371883
M,65,39.702156916099774
M,68,38.87931428571429
F,64,26.742385487528345
M,71,33.94225850340136
F,65,24.685278911564627
F,63,28.79949206349206
F,64,29.828045351473925
M,72,41.14213151927438
F,65,26.742385487528345
M,71,35.79365442176871
M,72,41.55355283446712
F,64,34.97081179138322
F,65,30.85659863945578
M,72,39.08502494331066
M,69,41.14213151927438
F,66,27.565228117913833
F,64,27.770938775510203
F,66,30.445177324263035
M,69,37.027918367346935
F,67,28.79949206349206
F,66,45.25634467120181
